**Variable**,**OR (95% CI)**,**95% CI**,**P-value**
__Age (years)__,1.02,"1.01, 1.02",<0.001
No. Obs.,"3,034",,
"__Sex, Male__",,,
1,,,
2,0.67,"0.55, 0.82",<0.001
No. Obs.,"3,034",,
__Race/Ethnicity__,,,
3,,,
1,0.98,"0.75, 1.27",0.9
No. Obs.,"3,034",,
__educational level__,,,
1,,,
3,0.72,"0.60, 0.88",0.002
No. Obs.,"3,032",,
__Income-to-Poverty Ratio__,0.94,"0.86, 1.03",0.2
No. Obs.,"2,634",,
__BMI (kg/m²)__,1.20,"1.16, 1.24",<0.001
No. Obs.,"3,004",,
__Waist circumference (cm)__,1.10,"1.08, 1.11",<0.001
No. Obs.,"2,953",,
__Overweight/Obesity__,,,
0,,,
1,15.5,"7.30, 33.0",<0.001
No. Obs.,"3,012",,
__SBP (mmHg)__,1.02,"1.01, 1.03",<0.001
No. Obs.,"2,775",,
__DBP (mmHg)__,1.04,"1.03, 1.05",<0.001
No. Obs.,"2,775",,
__Hypertension__,,,
0,,,
1,3.28,"2.37, 4.52",<0.001
No. Obs.,"2,860",,
__Total cholesterol (mg/dL)__,1.00,"1.00, 1.00",0.2
No. Obs.,"2,986",,
__HDL-C (mg/dL)__,0.94,"0.93, 0.95",<0.001
No. Obs.,"2,986",,
__LDL-C (mg/dL)__,1.00,"1.00, 1.01",0.2
No. Obs.,"2,959",,
__Triglycerides (mg/dL)__,1.01,"1.01, 1.01",<0.001
No. Obs.,"2,986",,
__Low HDL-C__,,,
0,,,
1,2.84,"2.22, 3.63",<0.001
No. Obs.,"2,995",,
__dyslipidemia__,,,
0,,,
1,3.17,"2.35, 4.27",<0.001
No. Obs.,"2,995",,
__Fasting glucose (mg/dL)__,1.03,"1.02, 1.04",<0.001
No. Obs.,"3,034",,
__HbA1c (%)__,2.37,"1.90, 2.96",<0.001
No. Obs.,"3,027",,
__Prediabetes/Diabetes__,,,
0,,,
1,3.89,"2.93, 5.17",<0.001
No. Obs.,"3,034",,
__Total energy intake (kcal/day)__,1.00,"1.00, 1.00",0.050
No. Obs.,"2,814",,
__Sugar intake__,1.00,"1.00, 1.00",0.5
No. Obs.,"2,732",,
__Saturated fat intake__,1.01,"1.00, 1.03",0.2
No. Obs.,"2,732",,
__smoking__,,,
0,,,
1,1.27,"0.87, 1.85",0.2
2,0.87,"0.58, 1.31",0.5
No. Obs.,"3,032",,
__Alcohol use__,,,
Never Drinker,,,
Former Drinker,1.01,"0.54, 1.89",>0.9
Non-heavy Drinker,0.75,"0.43, 1.31",0.3
No. Obs.,"2,887",,
__Physical activity (≥150 min/week)__,,,
<150 min/week,,,
≥150 min/week,0.62,"0.46, 0.84",0.003
No. Obs.,"3,018",,
__Sedentary behavior (hours/day)__,1.06,"1.02, 1.10",0.002
No. Obs.,"3,034",,
